	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
66	DB08877	Ruxolitinib	"Ruxolitinib is indicated for the treatment of inte1mediate or high-risk myelofibrosis (MF), including prima1y MF, post-polycythemia vera MF and post-essential thrombocythemia MF in adults.[L31938] It is also indicated to treat disease-related splenomegaly or symptoms in adult patients with these conditions.[L32073]

Ruxolitinib is indicated for the treatment of polycythemia vera (PV) in adults who have had an inadequate response to or are intolerant of hydroxyurea.[L31938]

Ruxolitinib is indicated for the treatment of steroid-refracto1y acute graft-versus-host disease (GVHD) in adult and pediatric patients 12 years and older.[L31938]

Ruxolitinib is indicated for topical non-continuous and short-term treatment of mild to moderate atopic dermatitis in immunocompetent patients who are 12 years and older and whose disease is not adequately controlled with topical prescription therapies or when the topical prescription therapies are not advisable.[L39125]"	JAK3, JAK1, JAK2, TYK2	-1.8009826699516436	<0.0001
67	DB08895	Tofacitinib	"For the treatment of moderate to severe rheumatoid arthritis which is resistant or intolerant to methotrexate therapy. It may also be used as an adjunct to methotrexate therapy, or other non-biologic disease-modifying antirheumatic drugs (DMARDS), when methotrexate alone is not sufficient.  

Tofacitinib has also been investigated as a preventative therapy for kidney transplant rejections, and as a treatment for psoriasis, ulcerative colitis, and ankylosing spondylitis. 

It is not to be initiated in patients with a history of chronic or recurrent infections, or in the presence of active infection, even if localized, due to reports of serious and sometimes fatal infections (commonly pneumonia, herpes zoster and urinary tract infections). Use of tofacitinib is also discouraged in those who have been, or are likely to be, exposed to TB. An increased likelihood of exposure may be encountered by traveling to certain areas. In addition, tofacitinib is not to be used in patients with severe hepatic impairment, or low hemoglobin (less than 9g/dL). Cautioned is advised when using tofacitinib in patients at risk of gastrointestinal perforation, and in the elderly who are more susceptible to infection.   "	JAK3, JAK1, JAK2, TYK2	-1.8009826699516436	<0.0001
68	DB05266	Ibudilast	For the treatment of multiple sclerosis, asthma, and cerebrovascular disease.	PDE4A, PDE3A, PDE4C, PDE4D, PDE4B	-1.7980779446219222	<0.0001
69	DB00201	Caffeine	Caffeine is indicated for the short term treatment of apnea of prematurity in infants and off label for the prevention and treatment of bronchopulmonary dysplasia caused by premature birth.[T716,L9851] In addition, it is indicated in combination with sodium benzoate to treat respiratory depression resulting from an overdose with CNS depressant drugs.[L9899] Caffeine has a broad range of over the counter uses, and is found in energy supplements, athletic enhancement products, pain relief products, as well as cosmetic products.[T716,L9854,L9872]	ADORA2B, RYR1, ATM, PIK3CB, ADORA1, PDE1A, PRKDC, ITPR1, ADORA3, ADORA2A, PDE1B, PIK3CA, PDE4B, PIK3CD	-1.789582109234014	<0.0001
70	DB09073	Palbociclib	"Palbociclib is indicated in combination with [letrozole] as initial endocrine-based therapy for the treatment of human epidermal growth factor receptor type 2 (HER2)-negative and hormone receptor(HR)-positive tumors in adult patients with advanced/metastatic breast cancer. It is as well approved in combination with [fulvestrant] in patients with disease progression with prior endocrine therapy.[A176783]

In the official labeling, the use of palbociclib should be accompanied with either an aromatase inhibition, no restricted to letrozole, as initial endocrine-based therapy in postmenopausal women or in man.[FDA label]

The breast cancer starts as a group of cancer cells that grow into and destroy the nearby breast tissue. This growth can spread into other parts of the body which is called metastasis. According to the location of the cancer cells, it can be categorized in ductal carcinoma and lobular carcinoma. However, other types of breast cancer include inflammatory breast cancer, Paget disease of the breast, triple negative breast cancer non-Hodgkin lymphoma and soft tissue sarcoma.[L5870] In males, breast cancer is usually treated as the cases of postmenopausal women and almost all the cases are ductal carcinoma.[L5873]"	CDK6, CDK4	-1.785701440273989	<0.0001
71	DB05984	RAF-265	Investigated for use/treatment in melanoma.	BRAF, KDR	-1.769826021314395	<0.0001
72	DB01115	Nifedipine	Nifedipine capsules are indicated to treat vasospastic angina and chronic stable angina.[L11383] Extended release tablets are indicated to treat vasospastic angina, chronic stable angina, and hypertension.[L11389,L1245]	CACNA1C, KCND3, CACNB2, NR1I2, CALM1, CACNA1D, CACNA1S, CACNA1G	-1.717059554319457	<0.0001
73	DB08597	Dorsomorphin		ACVR1, FKBP1A	-1.7052537484229777	<0.0001
74	DB02587	Colforsin		ADCY5, ADCY2, GNAS, CFTR	-1.6483952979052587	<0.0001
75	DB01782	Pyrazolanthrone		MAPK10, MAPK8IP1, MAPK8, TTK	-1.643933447893473	<0.0001
76	DB04297	Trichostatin A		HDAC8, HDAC7	-1.6370806859401204	<0.0001
77	DB11781	Tosedostat		NPEPPS, LTA4H	-1.6321505682249837	<0.0001
78	DB00933	Mesoridazine	Used in the treatment of schizophrenia, organic brain disorders, alcoholism and psychoneuroses.	HTR2A, DRD2	-1.6036127910325884	<0.0001
79	DB12093	Tetrahydropalmatine		DRD1, DRD2	-1.6036127910325884	<0.0001
80	DB07859	4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE		GSK3B, AKT2, PKIA, PRKACA	-1.5899859590926666	<0.0001
81	DB08073	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE		PKIA, AKT2, GSK3B, PRKACA	-1.5899859590926666	<0.0001
82	DB00704	Naltrexone	Used as an adjunct to a medically supervised behaviour modification program in the maintenance of opiate cessation in individuals who were formerly physically dependent on opiates and who have successfully undergone detoxification. Also used for the management of alcohol dependence in conjunction with a behavioural modification program.	OPRK1, OPRD1, OPRM1, SIGMAR1	-1.4796196375138346	<0.0001
83	DB02424	Geldanamycin		HSP90AA1, HSP90B1, HSP90AB1	-1.4567001002804276	<0.0001
84	DB00717	Norethisterone	"Norethisterone is indicated as an oral contraceptive when given as monotherapy[L9527] or in combination with an estrogen component, such as [ethinylestradiol] or [estradiol].[L10313,L10307] In combination with an estrogen component, oral norethisterone is also indicated as a hormone replacement therapy in the treatment of postmenopausal osteoporosis and moderate-to-severe vasomotor symptoms arising from menopause.[L10304] When applied via transdermal patch, the combination of norethisterone and estradiol is indicated for the treatment of hypoestrogenism, vulvovaginal atrophy, and moderate-severe vasomotor symptoms.[L10301]

Norethisterone, taken in combination with intramuscular [leuprolide], is also indicated for the symptomatic treatment of endometriosis-related pain.[L10310]"	AR, NR3C1, PGR	-1.4430809126535369	<0.0001
85	DB01054	Nitrendipine	For the treatment of mild to moderate hypertension	CACNA1C, CACNA2D2, CACNB2, CACNA2D1, CACNA1H, CACNA1D, CACNA1S	-1.359142473371931	<0.0001
86	DB01132	Pioglitazone	Pioglitazone is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.[L11416] It is also available in combination with [metformin],[L11419] [glimepiride],[L11422] or [alogliptin][L11425] for the same indication.	MAOB, PPARG	-1.355626483995081	<0.0001
87	DB02509	Farnesol		NR1H4, MAOB	-1.355626483995081	<0.0001
88	DB01023	Felodipine	For the treatment of mild to moderate essential hypertension. 	TNNC2, CACNA1C, CACNA2D2, CACNB2, PDE1A, NR3C2, CACNA2D1, PDE1B, CACNA1H, CALM1, CACNA1D, TNNC1, CACNA1S	-1.3541123346055095	<0.0001
89	DB01233	Metoclopramide	"Metoclopramide in the oral tablet form is used for symptomatic treatment of both acute and recurrent diabetic gastroparesis, in addition to the treatment of gastroesophageal reflux disease (GERD) in patients who have failed to respond to traditional therapy.[L8414] A nasal spray formulation is also indicated to treat adults with acute, recurrent diabetic gastroparesis.[L14381]

In the intravenous injection form, it is indicated for the above conditions as well as for the prevention of vomiting that may follow emetogenic chemotherapy or nausea and vomiting after surgery. Intravenous metoclopramide facilitates intubation of the small bowel and stimulates gastric emptying and barium flow in patients who require radiological examination of the stomach or small intestine.  In some cases, the delay of gastrointestinal emptying interferes with the radiographic visualization of the gastrointestinal tract, and metoclopramide is used to facilitate emptying in these cases, allowing for adequate diagnostic visualization.[L8417]

Some off-label uses of metoclopramide include the management of radiation-induced nausea and vomiting, gastric bezoars, intractable hiccups, and migraine pain.[A184961,A184964,A184967,A40105]"	CHRM1, DRD2, HTR3A, HTR4	-1.3417720944055274	<0.0001
90	DB04513	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide		TNNC1, TNNI3, CALM1	-1.3359470451707172	<0.0001
91	DB06152	Nylidrin	Nylidrin is mainly indicated in conditions like arteriosclerosis, cerebrovascular disease, peripheral vascular disease, Raynaud's disease, thrombo-angitis obliterans, and thrombophlebitis [L2285]. It may sometimes be used in the treatment of peripheral vascular disorders in addition premature labor (however, the drug is not approved for premature labor)[A32531].	IFNAR2, CACNA1I	-1.2771568015437123	<0.0001
92	DB01205	Flumazenil	For the complete or partial reversal of the sedative effects of benzodiazepines in cases where general anesthesia has been induced and/or maintained with benzodiazepines, and where sedation has been produced with benzodiazepines for diagnostic and therapeutic procedures. Also for the management of benzodiazepine overdose as an adjunct for appropriate supportive and symptomatic measures.	GABRA1, GABRG2, GABRA5	-1.2673827821721726	<0.0001
93	DB01069	Promethazine	Promethazine tablets and suppositories are indicated to treat rhinitis, allergic conjunctivitis, allergic reactions to blood or plasma, dermographism, anaphylactic reactions, sedation, nausea, vomiting, pain, motion sickness, and allergic skin reactions.[A189907,L4000] Promethazine cough syrup with phenylephrine and codeine is indicated to relieve cough and upper respiratory symptoms, and nasal congestion associated with allergy or the common cold.[L11326]	CHRM4, CHRM5, DRD2, HRH1, SCN1A, CHRM1, ADRA1A, CHRM3, HRH2, CALM1, CHRM2	-1.180230650819271	<0.0001
94	DB00622	Nicardipine	Used for the management of patients with chronic stable angina and for the treatment of hypertension.	CACNA1C, CHRM4, CHRM5, CACNB2, ADRA1B, PDE1A, CHRM1, ADRA1A, CACNA2D1, ADRA1D, CHRM3, PDE1B, CALM1, CACNA1D, CHRM2	-1.1596076821720387	<0.0001
95	DB00831	Trifluoperazine	For the treatment of anxiety disorders, depressive symptoms secondary to anxiety and agitation.	DRD2, ADRA1A, CALM1, S100A4, TNNC1, CALY	-1.1559227513757586	<0.0001
96	DB03777	Bisindolylmaleimide I		PDPK1, PIM1, PRKCI	-1.1510013722095678	<0.0001
97	DB00887	Bumetanide	For the treatment of edema associated with congestive heart failure, hepatic and renal disease including the nephrotic syndrome.	SLC12A4, CFTR, SLC12A2, SLC12A5, SLC12A1	-1.137202391563671	<0.0001
