	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
56	DB01229	Paclitaxel	Used in the treatment of Kaposi's sarcoma and cancer of the lung, ovarian, and breast. Abraxane® is specfically indicated for the treatment of metastatic breast cancer and locally advanced or metastatic non-small cell lung cancer.	TUBB1, MAP4, BCL2, NR1I2, MAP2, MAPT	-1.5084734234285666	<0.0001
57	DB01248	Docetaxel	For the treatment of patients with locally advanced or metastatic breast cancer after failure of prior chemotherapy. Also used as a single agent in the treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of prior platinum-based chemotherapy. It is also used in combination with prednisone, in the treatment of patients with androgen independent (hormone refractory) metastatic prostate cancer. Furthermore, docetaxel has uses in the treatment of gastric adenocarinoma and head and neck cancer. 	TUBB1, MAP4, BCL2, NR1I2, MAP2, MAPT	-1.5084734234285666	<0.0001
58	DB04297	Trichostatin A		HDAC7, HDAC8	-1.5056792626359683	<0.0001
59	DB11781	Tosedostat		LTA4H, NPEPPS	-1.5009756663434177	<0.0001
60	DB09371	Norethynodrel		AR, ESR1, SHBG	-1.4881960603102053	<0.0001
61	DB00631	Clofarabine	For the treatment of pediatric patients 1 to 21 years old with relapsed or refractory acute lymphocytic (lymphoblastic) leukemia after at least two prior regimens. It is designated as an orphan drug by the FDA for this use.	RRM1, POLA1	-1.4108792046436154	<0.0001
62	DB02691	Glycocholic acid		FABP6	-1.4104295322532243	<0.0001
63	DB00740	Riluzole	For the treatment of amyotrophic lateral sclerosis (ALS, Lou Gehrig's Disease)	SCN5A, SLC7A11	-1.3064276516724809	<0.0001
64	DB01132	Pioglitazone	Pioglitazone is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.[L11416] It is also available in combination with [metformin],[L11419] [glimepiride],[L11422] or [alogliptin][L11425] for the same indication.	MAOB, PPARG	-1.237156882992383	<0.0001
65	DB01247	Isocarboxazid	Isocarboxazid is indicated for the treatment of the enduring and debilitating symptoms of depression that have not responded to other antidepressant drugs.[L1372] Depression is a common but serious mood disorder. The patient will present changes in its feelings, thoughts, and ability to handle everyday activities. For a mood disorder to be considered as depression, the symptoms should be present for at least two weeks.[L1375]	MAOB, MAOA	-1.237156882992383	<0.0001
66	DB02587	Colforsin		CFTR, ADCY5, GNAS, ADCY2	-1.2333489470724965	<0.0001
